epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7663,3.87759,8.5042,0.76093,4.3098,3.09027,0.00034,0.00284,0.00018,2e-05,0.00091,0.00225,0.00049,0.00015,4.17458,8.31584,0.71046,4.25576,3.13443,3.75e-05,3.75e-05,3.75e-05
2,34.2581,3.65929,8.34066,0.73728,4.19622,2.88192,0.00217,0.08559,0.00754,0.00243,0.00061,0.00284,0.00031,3e-05,3.2862,8.19972,0.66192,3.89471,2.26655,8.70669e-05,8.70669e-05,8.70669e-05
3,48.8393,3.27418,7.65044,0.70919,3.91258,2.3977,0.2705,0.14414,0.05018,0.01284,0.00207,0.02703,0.0012,0.00014,2.94635,7.707,0.64992,3.30686,1.88895,0.000136139,0.000136139,0.000136139
4,61.9962,2.90603,7.13096,0.6848,3.48872,2.16527,0.07258,0.10135,0.05305,0.00967,0.00384,0.01577,0.00165,0.00027,2.60551,7.37076,0.54846,3.96351,1.81391,0.000184716,0.000184716,0.000184716
5,66.8084,2.61741,6.89536,0.63083,3.0066,1.90082,0.01403,0.08108,0.01575,0.00467,0.00425,0.02477,0.00281,0.00048,2.43799,7.20415,0.46805,14.0021,1.87071,0.000232798,0.000232798,0.000232798
6,70.8264,2.42959,6.38247,0.57258,2.82267,1.78645,0.28143,0.18028,0.15756,0.03814,0.75783,0.02027,0.00261,0.00058,2.65277,7.04232,0.36076,9.67544,2.14862,0.000280384,0.000280384,0.000280384
7,76.0031,2.43373,6.19176,0.53302,2.59758,1.77116,0.3178,0.16392,0.06615,0.03092,0.27567,0.14239,0.01965,0.00482,2.57979,6.93567,0.27076,15.0717,2.04547,0.000327476,0.000327476,0.000327476
8,81.1922,2.36934,5.65263,0.50769,2.32557,1.74082,0.15678,0.30228,0.14495,0.03096,0.01388,0.13628,0.01115,0.0039,2.40536,7.44928,0.26264,47.4479,2.02775,0.000374073,0.000374073,0.000374073
9,86.0429,2.24218,5.40779,0.47715,2.19979,1.67365,0.15366,0.29445,0.13869,0.02714,0.52741,0.09943,0.01813,0.00478,2.34683,6.84262,0.24028,inf,1.95087,0.000420175,0.000420175,0.000420175
10,90.1215,2.25226,5.39842,0.47813,2.17455,1.68242,0.5604,0.20663,0.16765,0.06804,0.07385,0.18921,0.05248,0.00926,2.48117,6.52661,0.23416,inf,2.04458,0.000465782,0.000465782,0.000465782
11,98.7838,2.14731,4.95452,0.44647,2.05504,1.62066,0.20688,0.37152,0.18133,0.06576,0.02933,0.22398,0.02816,0.00936,2.39768,6.36796,0.22057,65.6766,1.96296,0.000510894,0.000510894,0.000510894
12,103.477,2.1013,4.80872,0.42939,2.00279,1.58878,0.03066,0.2184,0.03537,0.01533,0.01972,0.1889,0.01789,0.00658,2.5445,6.65234,0.22621,49.9154,2.07634,0.000555511,0.000555511,0.000555511
13,108.197,1.94995,4.3161,0.44301,1.96981,1.53952,0.04805,0.23747,0.07849,0.03216,0.05035,0.28354,0.05173,0.01433,2.46345,5.71619,0.23595,33.2065,2.02586,0.000599632,0.000599632,0.000599632
14,113.834,1.96732,4.30003,0.40945,1.87585,1.489,0.06595,0.24801,0.07142,0.029,0.06024,0.21496,0.05308,0.01671,2.58459,5.673,0.21541,24.602,2.16481,0.000643259,0.000643259,0.000643259
15,120.895,1.9335,4.13775,0.40403,1.91274,1.52771,0.37489,0.25692,0.13229,0.04862,0.3362,0.19574,0.07442,0.02326,2.43246,6.00655,0.17695,15.9286,2.00073,0.000686391,0.000686391,0.000686391
16,128.62,1.92121,4.10553,0.38753,1.88879,1.49437,0.40442,0.26284,0.13029,0.05605,0.35455,0.18936,0.07752,0.02305,2.37603,5.90253,0.16097,12.5599,1.96191,0.000729028,0.000729028,0.000729028
17,134.634,1.90799,4.06447,0.37301,1.86005,1.48927,0.19861,0.29903,0.14963,0.07006,0.08491,0.136,0.06379,0.02078,2.31428,5.97146,0.15992,11.7219,1.89779,0.00077117,0.00077117,0.00077117
18,139.421,1.83251,4.05211,0.37213,1.83825,1.46992,0.12749,0.26283,0.12215,0.04572,0.10988,0.23773,0.07004,0.02324,2.45512,5.56584,0.16143,11.056,1.95857,0.000812817,0.000812817,0.000812817
19,143.893,1.87057,3.97953,0.34747,1.88527,1.46566,0.12211,0.30904,0.1098,0.04493,0.13623,0.18351,0.08118,0.02957,2.42194,5.42225,0.15397,8.95254,1.921,0.000853969,0.000853969,0.000853969
20,149.305,1.89213,3.97479,0.33996,1.84442,1.47667,0.18154,0.24238,0.15624,0.06853,0.18467,0.13136,0.09164,0.03695,2.31026,6.24003,0.13146,7.89054,1.85963,0.000894626,0.000894626,0.000894626
21,158.876,1.79725,3.88419,0.35033,1.848,1.44077,0.27363,0.26143,0.18093,0.06952,0.18029,0.1539,0.12162,0.03817,2.35595,5.60413,0.13672,7.68283,1.91395,0.000934788,0.000934788,0.000934788
22,164.061,1.85318,3.86934,0.34021,1.74278,1.43692,0.41206,0.18989,0.10209,0.04583,0.10893,0.23001,0.09775,0.04292,2.47484,5.14776,0.13734,7.64984,1.93157,0.000974454,0.000974454,0.000974454
23,169.162,1.86975,3.70723,0.33162,1.76431,1.45496,0.41206,0.18989,0.10209,0.04583,0.10893,0.23001,0.09775,0.04292,2.47484,5.14776,0.13734,7.64984,1.93157,0.00101363,0.00101363,0.00101363
24,175.433,1.90945,3.67454,0.29967,1.6784,1.42257,0.15952,0.20121,0.112,0.05028,0.16594,0.1796,0.09565,0.04755,2.42546,5.24123,0.1266,7.44614,1.90353,0.0010523,0.0010523,0.0010523
25,185.909,1.88504,3.68809,0.30914,1.70582,1.4335,0.29164,0.22206,0.18831,0.06554,0.14366,0.21264,0.09843,0.04953,2.52893,5.40827,0.14431,6.61808,2.00566,0.00109048,0.00109048,0.00109048
26,192.856,1.84686,3.53241,0.30467,1.74097,1.45462,0.2354,0.26851,0.14102,0.05563,0.21132,0.18808,0.10954,0.05198,2.30349,5.26772,0.10908,5.16108,1.80745,0.00109531,0.00109531,0.00109531
27,202.119,1.73756,3.43031,0.29562,1.65858,1.36701,0.19202,0.22169,0.12641,0.05371,0.18821,0.32016,0.17115,0.06734,2.3229,4.87822,0.11617,5.19037,1.84004,0.00108913,0.00108913,0.00108913
28,213.565,1.74996,3.40623,0.29883,1.664,1.37807,0.19202,0.22169,0.12641,0.05371,0.18821,0.32016,0.17115,0.06734,2.3229,4.87822,0.11617,5.19037,1.84004,0.00108294,0.00108294,0.00108294
