epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8702,3.71447,7.97356,0.63827,4.1038,3.01591,0.00062,0.00284,0.00032,0.0001,0,0,0,0,4.0533,7.93101,0.64944,3.91156,3.25593,2.5e-05,2.5e-05,2.5e-05
2,27.0707,3.63951,7.87728,0.63772,4.02208,2.97621,0.00186,0.01475,0.00097,0.00029,0,0,0,0,3.85984,7.94813,0.65039,3.87163,3.03932,6.21906e-05,6.21906e-05,6.21906e-05
3,34.0637,3.53554,7.82664,0.63184,3.96266,2.81374,0.00333,0.0096,0.00171,0.00031,0,0,0,0,3.5444,8.06877,0.65631,3.72822,2.63289,9.901e-05,9.901e-05,9.901e-05
4,42.0538,3.33354,7.85786,0.63369,3.83805,2.56437,0.00897,0.10987,0.00901,0.00258,0,0,0,0,3.305,8.13169,0.6596,3.54529,2.38749,0.000135458,0.000135458,0.000135458
5,47.6488,3.14367,7.7523,0.62966,3.69402,2.31041,0.02242,0.16624,0.03249,0.00728,0,0,0,0,3.13206,8.19958,0.6608,3.34706,2.20396,0.000171535,0.000171535,0.000171535
6,53.0419,3.04062,7.63089,0.625,3.47366,2.22681,0.01836,0.1887,0.02614,0.00611,0,0,0,0,3.02101,8.18494,0.65912,3.26825,2.09689,0.000207241,0.000207241,0.000207241
7,59.5255,2.95138,7.59561,0.61869,3.3439,2.1413,0.02539,0.12618,0.01705,0.0038,0,0,0,0,2.93392,8.11994,0.65476,3.19419,2.05417,0.000242575,0.000242575,0.000242575
8,64.2925,2.84792,7.54615,0.6154,3.22503,2.06986,0.02161,0.12559,0.01566,0.0034,0,0,0,0,2.89395,8.03652,0.65223,3.16643,2.04039,0.000277538,0.000277538,0.000277538
9,68.7771,2.76776,7.52308,0.60678,3.07268,1.97651,0.27582,0.0732,0.03454,0.01352,0,0,0,0,2.84186,7.93376,0.64666,3.12023,2.06397,0.00031213,0.00031213,0.00031213
10,72.2036,2.60128,7.36187,0.60839,2.99503,1.87307,0.05509,0.21524,0.04873,0.01932,0,0,0,0,2.80479,7.87407,0.64443,3.06031,2.08344,0.000346351,0.000346351,0.000346351
11,75.4539,2.5848,7.31721,0.60432,2.93829,1.89345,0.08723,0.2206,0.06709,0.02094,0,0,0,0,2.90628,7.7746,0.64016,3.04471,2.16326,0.0003802,0.0003802,0.0003802
12,78.5311,2.65492,7.20998,0.60454,2.8592,1.9698,0.05325,0.13737,0.05745,0.02252,0.50442,0.0045,0.00029,3e-05,2.94032,7.7251,0.63708,3.0108,2.18812,0.000413678,0.000413678,0.000413678
13,81.3249,2.51976,7.10668,0.60128,2.78727,1.8718,0.10091,0.18537,0.06973,0.02524,0.01517,0.0266,0.00439,0.00109,2.78746,7.61428,0.6258,3.10604,2.07101,0.000446785,0.000446785,0.000446785
14,83.4449,2.49586,7.12979,0.59784,2.6948,1.85534,0.09445,0.12669,0.07209,0.02777,0.02197,0.01926,0.0033,0.00095,2.74009,7.57917,0.62021,3.0621,2.03779,0.000479521,0.000479521,0.000479521
15,85.7403,2.40969,6.95088,0.58944,2.62128,1.78625,0.37879,0.12516,0.07565,0.03055,0.25829,0.01475,0.00164,0.00033,2.6742,7.5041,0.61425,3.06781,1.96792,0.000511885,0.000511885,0.000511885
16,88.0319,2.41855,6.90055,0.57349,2.54662,1.78932,0.37463,0.1281,0.07205,0.02925,0.25935,0.01759,0.00178,0.00029,2.73649,7.46218,0.61168,3.3022,2.02059,0.000543878,0.000543878,0.000543878
17,90.244,2.36022,6.93618,0.56551,2.55679,1.77033,0.1126,0.12017,0.06491,0.02733,0.01164,0.0471,0.005,0.001,2.70375,7.33051,0.59397,3.65277,1.99425,0.0005755,0.0005755,0.0005755
18,93.2667,2.28113,6.75843,0.56321,2.4772,1.72496,0.40127,0.1283,0.07065,0.02815,0.27578,0.03228,0.00945,0.0019,2.6971,7.23519,0.58223,3.46014,2.00695,0.000606751,0.000606751,0.000606751
19,96.3303,2.26921,6.74667,0.55859,2.47842,1.71611,0.36697,0.14461,0.07234,0.02893,0.28266,0.04081,0.01173,0.0025,2.69123,7.14963,0.57026,3.27044,2.06272,0.00063763,0.00063763,0.00063763
20,99.764,2.21403,6.67891,0.55061,2.3992,1.6902,0.35557,0.1544,0.07461,0.0301,0.29769,0.08054,0.01765,0.00397,2.611,7.04579,0.55746,3.46013,2.00095,0.000668138,0.000668138,0.000668138
21,102.088,2.21683,6.54794,0.53987,2.36082,1.66395,0.12613,0.16241,0.07367,0.03083,0.06839,0.09506,0.02686,0.00681,2.53195,6.96627,0.54474,3.8873,1.94408,0.000698275,0.000698275,0.000698275
22,104.223,2.28659,6.685,0.53362,2.39672,1.70253,0.13027,0.16382,0.07426,0.03098,0.08865,0.09893,0.03166,0.0081,2.55187,6.933,0.53535,4.44716,1.95803,0.000728041,0.000728041,0.000728041
