epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6329,3.74663,8.41269,0.81304,4.22708,3.15381,0.00067,0.00225,0.00034,3e-05,0,0,0,0,4.23972,8.08998,0.80614,4.14311,3.56186,2.5e-05,2.5e-05,2.5e-05
2,35.9705,3.63259,8.31166,0.80145,4.17635,3.09404,0.00193,0.00735,0.00111,0.00021,0.00138,0.01475,0.00073,0.00011,3.72758,7.91133,0.76771,3.99715,2.99103,6.21906e-05,6.21906e-05,6.21906e-05
3,46.8743,3.23889,7.74305,0.74367,4.00345,2.60335,0.01569,0.17691,0.04616,0.01521,0.00048,0.04167,0.00079,0.00016,2.77738,7.77351,0.66862,3.35094,2.058,9.901e-05,9.901e-05,9.901e-05
4,55.8416,2.84568,7.31154,0.6684,3.61919,2.20839,0.03552,0.14302,0.02766,0.01187,0.25237,0.0045,0.00049,5e-05,2.48323,7.41783,0.56012,3.75873,1.97232,0.000135458,0.000135458,0.000135458
5,64.1977,2.50241,6.72107,0.62859,3.11713,1.91566,0.02941,0.04955,0.01447,0.00523,0.00535,0.00901,0.00188,0.00039,2.41064,6.97251,0.50746,37.0041,2.04138,0.000171535,0.000171535,0.000171535
6,70.2177,2.38073,6.36511,0.59242,2.64581,1.83217,0.03104,0.12183,0.02607,0.01265,0.00758,0.0282,0.00444,0.00126,2.4736,6.80404,0.47785,55.6414,2.17081,0.000207241,0.000207241,0.000207241
7,75.5752,2.26867,6.10339,0.57772,2.43932,1.73122,0.09081,0.09592,0.03827,0.01656,0.01118,0.09367,0.00823,0.00205,2.2067,7.29984,0.52201,inf,1.89338,0.000242575,0.000242575,0.000242575
8,80.5435,2.18736,5.7853,0.58358,2.38202,1.70794,0.07872,0.13287,0.05005,0.0205,0.03145,0.10114,0.02008,0.00523,2.21344,7.16064,0.52034,inf,1.88508,0.000277538,0.000277538,0.000277538
9,84.895,2.1024,5.5349,0.55991,2.23722,1.60557,0.13583,0.15832,0.07094,0.03354,0.07406,0.09992,0.03861,0.01244,2.20466,6.21778,0.44205,inf,1.91341,0.00031213,0.00031213,0.00031213
10,89.3868,2.01972,5.15165,0.54677,2.22254,1.58642,0.15902,0.10448,0.07511,0.03636,0.09085,0.07778,0.03997,0.01134,2.19524,6.26923,0.47139,inf,1.89377,0.000346351,0.000346351,0.000346351
