epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1774,3.73846,7.87215,0.70808,4.21876,3.11113,0.00295,0.01759,0.00186,0.00043,0.00044,0.00225,0.00022,2e-05,4.23915,7.79251,0.71351,4.16672,3.46764,2.5e-05,2.5e-05,2.5e-05
2,24.6142,3.68334,7.81348,0.70959,4.15793,3.10673,0.00342,0.01985,0.00215,0.00071,0,0,0,0,4.00755,7.79436,0.71404,4.13262,3.26808,6.21906e-05,6.21906e-05,6.21906e-05
3,31.9548,3.48394,7.75614,0.70293,4.07365,2.81194,0.01103,0.06039,0.0192,0.00432,0,0,0,0,3.43033,8.0081,0.72061,3.7436,2.47266,9.901e-05,9.901e-05,9.901e-05
4,39.2751,3.16259,7.70006,0.70089,3.82418,2.42203,0.04548,0.2322,0.04041,0.00808,0,0,0,0,2.9164,8.02752,0.71968,3.41499,2.13856,0.000135458,0.000135458,0.000135458
5,46.4569,2.8912,7.42578,0.69719,3.51266,2.12566,0.02943,0.09411,0.01959,0.0072,0,0,0,0,2.79539,7.92184,0.71653,4.13471,2.087,0.000171535,0.000171535,0.000171535
6,51.7647,2.73432,7.22855,0.68495,3.11653,2.03134,0.26835,0.03604,0.02244,0.00902,0,0,0,0,2.74455,7.82699,0.71198,9.3777,2.05908,0.000207241,0.000207241,0.000207241
7,57.7302,2.6166,7.12796,0.67494,2.9215,1.92602,0.05381,0.10661,0.03737,0.01444,0.00041,0.00225,0.0001,1e-05,2.67721,7.72581,0.70441,17.6636,1.97573,0.000242575,0.000242575,0.000242575
8,64.1984,2.48414,6.95938,0.66625,2.77194,1.84587,0.04952,0.14281,0.04538,0.01824,0.00617,0.017,0.00329,0.00033,2.65176,7.67739,0.70043,23.4861,1.95408,0.000277538,0.000277538,0.000277538
9,67.6984,2.44093,6.86427,0.6574,2.59618,1.74687,0.03219,0.13622,0.02948,0.01376,0.00253,0.00284,0.00199,0.0004,2.52107,7.63933,0.6934,48.9851,1.85585,0.00031213,0.00031213,0.00031213
10,70.2963,2.32607,6.62646,0.64978,2.54442,1.68339,0.03299,0.19661,0.02925,0.01392,0.00153,0.00509,0.00093,9e-05,2.49216,7.59919,0.68783,58.4958,1.85924,0.000346351,0.000346351,0.000346351
11,72.9659,2.29882,6.55857,0.64052,2.45173,1.69108,0.03256,0.18109,0.05039,0.02599,0.00459,0.01646,0.00611,0.00122,2.49254,7.47461,0.67523,inf,1.93262,0.0003802,0.0003802,0.0003802
12,75.9251,2.30956,6.40117,0.63155,2.41734,1.72076,0.325,0.03636,0.02661,0.01203,0.26667,0.00568,0.00234,0.00028,2.54731,7.37588,0.66781,inf,1.94667,0.000413678,0.000413678,0.000413678
13,79.9625,2.18929,6.1987,0.62077,2.34984,1.63944,0.03012,0.19765,0.0279,0.01099,0.00532,0.01136,0.00357,0.00046,2.495,7.23119,0.65241,inf,1.91397,0.000446785,0.000446785,0.000446785
14,83.2713,2.18033,6.11219,0.61162,2.32696,1.64928,0.03532,0.214,0.0331,0.01315,0.01042,0.0142,0.00419,0.00078,2.49444,7.05978,0.64884,60.7411,1.90828,0.000479521,0.000479521,0.000479521
15,85.8206,2.11113,5.79983,0.60616,2.25435,1.59599,0.03565,0.22445,0.05676,0.01926,0.01752,0.10085,0.02565,0.0085,2.53444,6.62827,0.64138,34.3591,1.92352,0.000511885,0.000511885,0.000511885
16,88.5601,2.13656,5.7599,0.60274,2.22773,1.60192,0.04704,0.19736,0.05907,0.02154,0.02765,0.10546,0.03081,0.00856,2.53681,6.48017,0.63514,26.4174,1.92958,0.000543878,0.000543878,0.000543878
17,91.3847,2.10229,5.71544,0.59573,2.23437,1.57621,0.09272,0.1571,0.07713,0.03448,0.06168,0.10836,0.05257,0.01751,2.31983,6.44613,0.63373,12.1841,1.83325,0.0005755,0.0005755,0.0005755
18,94.8048,2.04494,5.45914,0.58546,2.1352,1.54855,0.12388,0.16108,0.08294,0.03607,0.09337,0.11286,0.05797,0.02022,2.37104,6.40392,0.6332,8.05229,1.84598,0.000606751,0.000606751,0.000606751
19,98.3888,1.98103,5.30845,0.58226,2.11338,1.52094,0.17117,0.16398,0.08616,0.03255,0.1429,0.12086,0.07089,0.02773,2.52199,6.27213,0.62702,7.69404,1.91903,0.00063763,0.00063763,0.00063763
20,101.092,1.94998,5.194,0.58075,2.04002,1.5012,0.14917,0.1696,0.09064,0.03323,0.09673,0.17867,0.07057,0.031,2.50685,6.04743,0.61118,8.8107,1.92687,0.000668138,0.000668138,0.000668138
21,103.818,1.93862,4.97989,0.57748,2.01178,1.4755,0.09974,0.14235,0.0754,0.0316,0.1344,0.13153,0.06859,0.02937,2.3694,5.77706,0.58317,9.66115,1.81326,0.000698275,0.000698275,0.000698275
22,106.384,1.99932,5.18104,0.57164,2.02744,1.50529,0.32413,0.14965,0.06173,0.02546,0.33037,0.15176,0.05509,0.02313,2.39178,5.80569,0.56254,10.9572,1.80498,0.000728041,0.000728041,0.000728041
23,109.344,1.97169,4.97043,0.56716,1.9802,1.47995,0.33243,0.18543,0.07043,0.03172,0.32587,0.18147,0.06248,0.02798,2.3771,5.59126,0.5488,9.84512,1.78156,0.000757435,0.000757435,0.000757435
24,112.874,1.86138,4.76973,0.56497,1.98679,1.44504,0.35849,0.23693,0.08308,0.03799,0.35106,0.23183,0.0827,0.03216,2.26302,5.35766,0.54096,6.86378,1.73107,0.000786458,0.000786458,0.000786458
25,116.379,1.90484,4.70849,0.54891,1.96803,1.44208,0.08843,0.18823,0.06374,0.03312,0.10463,0.22026,0.07369,0.03004,2.29644,5.43481,0.54567,6.14377,1.73925,0.00081511,0.00081511,0.00081511
26,119.029,1.85929,4.60763,0.54516,1.8997,1.41591,0.10452,0.15131,0.06697,0.0328,0.08531,0.16828,0.06385,0.02737,2.39529,5.68764,0.55139,4.63145,1.83558,0.000843391,0.000843391,0.000843391
27,121.607,1.84121,4.56825,0.54818,1.94699,1.42864,0.10662,0.18183,0.07763,0.03094,0.0989,0.15424,0.06519,0.02563,2.35983,5.61446,0.53714,3.91124,1.82851,0.0008713,0.0008713,0.0008713
28,124.234,1.79814,4.42285,0.53893,1.87042,1.38074,0.1156,0.21245,0.08064,0.0342,0.37226,0.15405,0.07405,0.02959,2.44854,5.49488,0.52064,3.84441,1.92433,0.000898838,0.000898838,0.000898838
29,127.012,1.79288,4.29664,0.51564,1.81072,1.36436,0.1156,0.21245,0.08064,0.0342,0.37226,0.15405,0.07405,0.02959,2.44854,5.49488,0.52064,3.84441,1.92433,0.000926005,0.000926005,0.000926005
30,130.484,1.85445,4.3423,0.50973,1.80645,1.37587,0.38366,0.14614,0.08861,0.04172,0.34785,0.1631,0.07458,0.02872,2.4188,5.52144,0.49534,3.72258,1.84071,0.000952801,0.000952801,0.000952801
31,133.961,1.8989,4.45391,0.51963,1.86545,1.39382,0.36562,0.17658,0.09418,0.04042,0.34314,0.15606,0.06339,0.02513,2.35376,5.47643,0.4882,3.55148,1.74652,0.000979225,0.000979225,0.000979225
32,136.641,1.84873,4.30455,0.52794,1.76486,1.39244,0.11108,0.18837,0.10653,0.04593,0.10981,0.16692,0.09021,0.03298,2.23629,5.32004,0.46222,3.20504,1.69179,0.00100528,0.00100528,0.00100528
33,139.288,1.77842,4.05407,0.50608,1.79092,1.35727,0.11108,0.18837,0.10653,0.04593,0.10981,0.16692,0.09021,0.03298,2.23629,5.32004,0.46222,3.20504,1.69179,0.00103096,0.00103096,0.00103096
34,142.093,1.77648,3.98081,0.49476,1.81013,1.35437,0.39359,0.16989,0.10591,0.04498,0.38073,0.15566,0.08271,0.03126,2.27387,5.3215,0.44282,3.38274,1.74258,0.00104581,0.00104581,0.00104581
35,144.976,1.72025,3.96924,0.4884,1.75906,1.33408,0.40765,0.19051,0.11005,0.04847,0.39756,0.15235,0.09426,0.037,2.22893,5.22347,0.42014,3.01954,1.7499,0.00103962,0.00103962,0.00103962
36,148.806,1.72382,4.01217,0.4952,1.76213,1.35702,0.14556,0.19358,0.11582,0.05072,0.38887,0.15846,0.09332,0.03218,2.21143,5.19514,0.42241,2.84699,1.69002,0.00103344,0.00103344,0.00103344
37,152.116,1.74262,3.92686,0.47957,1.73841,1.33536,0.14556,0.19358,0.11582,0.05072,0.38887,0.15846,0.09332,0.03218,2.21143,5.19514,0.42241,2.84699,1.69002,0.00102725,0.00102725,0.00102725
