epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6396,3.77811,8.2575,0.67296,4.25653,2.90775,0.00897,0.13964,0.09157,0.04929,0.00055,0.0045,0.00029,4e-05,3.54489,7.85867,0.60688,3.59833,2.39896,0.0001125,0.0001125,0.0001125
2,50.0777,3.06487,7.3009,0.62396,3.63892,2.3021,0.35105,0.21064,0.15396,0.04221,0.03463,0.03437,0.01058,0.00201,2.70149,7.41918,0.46205,19.9784,2.04758,0.000236324,0.000236324,0.000236324
3,60.2964,2.72623,6.61327,0.55617,2.80055,2.0482,0.03278,0.25529,0.02751,0.01348,0.01417,0.13563,0.0097,0.00308,2.43452,7.10556,0.33408,inf,2.05832,0.000358911,0.000358911,0.000358911
4,67.6668,2.57654,6.14086,0.51912,2.5399,1.92007,0.02136,0.20227,0.02075,0.0096,0.0093,0.14943,0.00647,0.00254,2.50635,6.82606,0.3241,inf,2.03187,0.000480261,0.000480261,0.000480261
5,78.982,2.55158,5.90341,0.47831,2.45737,1.83736,0.05059,0.12208,0.03385,0.01518,0.01693,0.10219,0.01067,0.00221,2.61035,6.47575,0.2977,inf,1.98989,0.000600373,0.000600373,0.000600373
6,86.8742,2.50719,5.65278,0.45635,2.36481,1.85061,0.09484,0.10341,0.03619,0.01694,0.02337,0.20166,0.02103,0.00671,2.33617,6.25647,0.26822,62.6897,1.88464,0.000719247,0.000719247,0.000719247
7,104.058,2.40258,5.39904,0.41481,2.30706,1.78624,0.09484,0.10341,0.03619,0.01694,0.02337,0.20166,0.02103,0.00671,2.33617,6.25647,0.26822,62.6897,1.88464,0.000836884,0.000836884,0.000836884
8,111.471,2.41168,5.37201,0.41163,2.41885,1.74874,0.03206,0.20507,0.03319,0.01474,0.03246,0.18914,0.02918,0.01144,2.64142,6.05561,0.25142,25.8913,2.02875,0.000953283,0.000953283,0.000953283
9,117.944,2.42022,5.25254,0.38879,2.26511,1.73568,0.11538,0.09411,0.0608,0.02368,0.10833,0.12528,0.05324,0.01816,2.71939,6.06063,0.23047,10.3353,2.06552,0.00106844,0.00106844,0.00106844
10,131.756,2.47075,5.37588,0.42666,2.39457,1.80507,0.11538,0.09411,0.0608,0.02368,0.10833,0.12528,0.05324,0.01816,2.71939,6.06063,0.23047,10.3353,2.06552,0.00118237,0.00118237,0.00118237
11,141.011,2.54211,5.30295,0.38567,2.34116,1.84121,0.04951,0.13808,0.0411,0.01581,0.03873,0.15338,0.02635,0.01404,2.65093,7.01566,0.17472,12.3315,2.07812,0.00118812,0.00118812,0.00118812
12,151.577,2.43476,5.0391,0.36825,2.29604,1.8002,0.13059,0.14645,0.09178,0.03901,0.28155,0.16334,0.15511,0.06843,2.48683,6.00865,0.15295,8.06887,1.9845,0.00118194,0.00118194,0.00118194
13,161.153,2.31797,4.93332,0.34761,2.28878,1.71757,0.13059,0.14645,0.09178,0.03901,0.28155,0.16334,0.15511,0.06843,2.48683,6.00865,0.15295,8.06887,1.9845,0.00117575,0.00117575,0.00117575
14,171.771,2.26594,4.89206,0.35113,2.21952,1.69639,0.03563,0.15803,0.02126,0.00933,0.03423,0.17167,0.02136,0.0105,2.68576,5.93604,0.18982,9.37385,2.1726,0.00116956,0.00116956,0.00116956
15,188.086,2.2374,5.05234,0.36303,2.31415,1.71363,0.02795,0.15986,0.01665,0.00834,0.01824,0.11562,0.01053,0.00594,2.61003,6.26248,0.14619,11.5368,2.15881,0.00116337,0.00116337,0.00116337
16,202.737,2.28137,4.76916,0.32429,2.14779,1.66842,0.02795,0.15986,0.01665,0.00834,0.01824,0.11562,0.01053,0.00594,2.61003,6.26248,0.14619,11.5368,2.15881,0.00115719,0.00115719,0.00115719
17,211.674,2.27246,4.74707,0.34296,2.13207,1.69017,0.12816,0.27161,0.09833,0.04205,0.13838,0.32693,0.12252,0.04902,2.45264,4.97618,0.15113,2.9941,2.00406,0.001151,0.001151,0.001151
18,222.458,2.25681,4.78402,0.328,2.12539,1.68518,0.12816,0.27161,0.09833,0.04205,0.13838,0.32693,0.12252,0.04902,2.45264,4.97618,0.15113,2.9941,2.00406,0.00114481,0.00114481,0.00114481
19,229.064,2.14561,4.47642,0.29167,2.05812,1.59706,0.12593,0.16948,0.07504,0.03425,0.12756,0.15769,0.0599,0.0271,2.5706,5.94513,0.16223,3.27872,1.94197,0.00113863,0.00113863,0.00113863
20,236.979,2.14251,4.34595,0.31043,2.05822,1.61914,0.35755,0.21203,0.09259,0.04286,0.34407,0.24267,0.07386,0.03804,2.37099,5.59386,0.1465,2.87754,1.85102,0.00113244,0.00113244,0.00113244
21,243.266,2.07162,4.23134,0.31724,2.03324,1.57489,0.35755,0.21203,0.09259,0.04286,0.34407,0.24267,0.07386,0.03804,2.37099,5.59386,0.1465,2.87754,1.85102,0.00112625,0.00112625,0.00112625
22,250.174,2.08299,4.256,0.31156,2.01677,1.58,0.12949,0.25808,0.10886,0.04234,0.09691,0.22615,0.08349,0.03687,2.51284,5.50553,0.15382,2.74749,1.9052,0.00112006,0.00112006,0.00112006
23,259.149,2.06923,4.30506,0.29155,1.95563,1.57161,0.11526,0.25337,0.09357,0.0438,0.13121,0.20839,0.08909,0.04807,2.50539,5.2003,0.13084,3.18764,1.93073,0.00111388,0.00111388,0.00111388
24,265.961,2.00791,4.21177,0.32113,1.99622,1.57825,0.11526,0.25337,0.09357,0.0438,0.13121,0.20839,0.08909,0.04807,2.50539,5.2003,0.13084,3.18764,1.93073,0.00110769,0.00110769,0.00110769
25,273.617,1.93141,3.84421,0.30799,1.97608,1.54904,0.10068,0.17736,0.08956,0.04064,0.35773,0.16586,0.08104,0.03992,2.46075,5.09597,0.13342,2.7218,1.91713,0.0011015,0.0011015,0.0011015
26,286.404,2.03848,3.90427,0.30165,1.92437,1.56461,0.10068,0.17736,0.08956,0.04064,0.35773,0.16586,0.08104,0.03992,2.46075,5.09597,0.13342,2.7218,1.91713,0.00109531,0.00109531,0.00109531
27,293.504,1.97659,3.81632,0.30413,1.91704,1.5552,0.15492,0.30145,0.11955,0.05241,0.13117,0.19054,0.09443,0.04684,2.38836,5.1379,0.12865,2.44927,1.85203,0.00108913,0.00108913,0.00108913
28,299.978,1.88045,3.78434,0.26416,1.81937,1.46198,0.43674,0.26706,0.14606,0.06335,0.41063,0.22481,0.10987,0.05793,2.24944,4.98438,0.12101,2.36969,1.76403,0.00108294,0.00108294,0.00108294
29,309.08,1.96422,3.81811,0.27164,1.80938,1.4955,0.43674,0.26706,0.14606,0.06335,0.41063,0.22481,0.10987,0.05793,2.24944,4.98438,0.12101,2.36969,1.76403,0.00107675,0.00107675,0.00107675
30,320.335,1.93103,3.69268,0.27185,1.79283,1.44962,0.42725,0.29865,0.13452,0.06402,0.41523,0.27201,0.11697,0.07228,2.14738,4.54454,0.11485,2.24565,1.69143,0.00107056,0.00107056,0.00107056
31,330.625,1.9046,3.80996,0.27679,1.84247,1.46156,0.13442,0.318,0.12407,0.0595,0.12098,0.28275,0.11065,0.06201,2.17533,4.57788,0.11301,2.44524,1.65941,0.00106437,0.00106437,0.00106437
32,339.843,1.87456,3.60956,0.28304,1.86004,1.49042,0.13442,0.318,0.12407,0.0595,0.12098,0.28275,0.11065,0.06201,2.17533,4.57788,0.11301,2.44524,1.65941,0.00105819,0.00105819,0.00105819
33,348.95,1.75395,3.37351,0.28644,1.71108,1.39866,0.13302,0.21799,0.11234,0.05341,0.44869,0.17885,0.12538,0.06504,2.21391,4.65616,0.10663,2.31785,1.68968,0.001052,0.001052,0.001052
34,358.306,1.80739,3.38121,0.27911,1.7521,1.44332,0.13302,0.21799,0.11234,0.05341,0.44869,0.17885,0.12538,0.06504,2.21391,4.65616,0.10663,2.31785,1.68968,0.00104581,0.00104581,0.00104581
35,370.324,1.85194,3.50616,0.27891,1.76467,1.45373,0.44799,0.18988,0.12548,0.06094,0.44947,0.20388,0.13017,0.07134,2.13496,4.7033,0.10127,2.30928,1.65248,0.00103962,0.00103962,0.00103962
36,380.156,1.81402,3.52933,0.28626,1.74943,1.45957,0.20433,0.22299,0.13634,0.06363,0.25717,0.29839,0.16681,0.09517,2.17192,4.55459,0.09291,2.22241,1.69328,0.00103344,0.00103344,0.00103344
37,400.915,1.73678,3.25225,0.24183,1.73898,1.38649,0.20433,0.22299,0.13634,0.06363,0.25717,0.29839,0.16681,0.09517,2.17192,4.55459,0.09291,2.22241,1.69328,0.00102725,0.00102725,0.00102725
38,409.518,1.69954,3.17405,0.27333,1.63834,1.37051,0.13376,0.27859,0.10631,0.05009,0.1588,0.35658,0.11844,0.06362,2.29394,4.53516,0.09721,2.32015,1.78689,0.00102106,0.00102106,0.00102106
39,416.061,1.70958,3.04351,0.24383,1.6852,1.37716,0.11407,0.29274,0.10775,0.0482,0.107,0.31945,0.1132,0.06219,2.27747,4.43479,0.09681,2.33745,1.76851,0.00101488,0.00101488,0.00101488
